run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
4,13,3,0.015537270897,na,na,0,0.0179770509227,snp,1,neu,516950.5207,,250,False,snp_indel_continuous_1class,25,-1033851.0414,0.0
4,13,3,0.000478234677662,979.328290473,0.591801351156,na,0.00577133745108,indel_del,1,sel,516950.5207,,250,False,snp_indel_continuous_1class,25,-1033851.0414,0.0
4,13,3,6.44080463501e-05,445.859908944,0.366886901267,na,0.000870638836113,indel_ins,1,sel,516950.5207,,250,False,snp_indel_continuous_1class,25,-1033851.0414,0.0
50,38,3,0.0155323351707,na,na,0,0.018231787302,snp,1,neu,516951.841174,,45000,True,snp_indel_discrete_2class,29,-1033845.68235,-5.35905260604
50,38,3,0.000181755696332,na,na,-56.2158096442,2.12151774335e-06,indel_del,2,sel,516951.841174,,45000,True,snp_indel_discrete_2class,29,-1033845.68235,-5.35905260604
50,38,3,6.59301827441e-05,na,na,-80.2179959032,2.02050670899e-06,indel_ins,2,sel,516951.841174,,45000,True,snp_indel_discrete_2class,29,-1033845.68235,-5.35905260604
50,38,3,3.90276342873e-05,na,na,-3.08108936194,0.0120242367011,indel_del,1,sel,516951.841174,,45000,True,snp_indel_discrete_2class,29,-1033845.68235,-5.35905260604
50,38,3,1.49310553917e-05,na,na,-1.04880621505,0.00318623498248,indel_ins,1,sel,516951.841174,,45000,True,snp_indel_discrete_2class,29,-1033845.68235,-5.35905260604
2,53,3,0.0166869376549,na,na,0,0.084914539507,snp,1,neu,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
2,53,3,0.000238529223202,na,na,-88.3781457276,0.00795604309371,indel_del,1,sel,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
2,53,3,9.45324199429e-05,na,na,-138.031863477,1.38563266619e-06,indel_ins,3,sel,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
2,53,3,4.3980013369e-05,na,na,-3.76552687485,0.00127509955366,indel_del,3,sel,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
2,53,3,1.58496500986e-05,na,na,-2.45715687843,0.0322149042643,indel_ins,1,sel,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
2,53,3,1.54281726969e-06,na,na,999.999997126,0.402589541931,indel_del,2,sel,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
2,53,3,1.52151767636e-06,na,na,15.7536317464,0.000199729033672,indel_ins,2,sel,516952.796629,sel_indel_del_gamma_2,7320,True,snp_indel_discrete_3class,35,-1033835.59326,-15.448142242
64,1,3,0.0153522009841,na,na,0,0,snp,1,neu,516915.654162,neu_snp_e_1,10000,True,snp_indel_discrete_1class,23,-1033785.30832,-65.7330768601
64,1,3,9.02270039382e-05,na,na,-6.16382705723,0.0111251569146,indel_del,1,sel,516915.654162,neu_snp_e_1,10000,True,snp_indel_discrete_1class,23,-1033785.30832,-65.7330768601
64,1,3,2.62448857328e-05,na,na,-2.83385078614,0.0392511493902,indel_ins,1,sel,516915.654162,neu_snp_e_1,10000,True,snp_indel_discrete_1class,23,-1033785.30832,-65.7330768601
